dataset,config,n_records,n_valid,sensitivity,specificity,fn,fp,decision_auto_rate,tier_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,status,issues
CLEF_CD011571,a14c_difficulty_floor_100,146,146,1.0,0.22142857142857142,0,109,0.2465753424657534,0.2465753424657534,0.7534246575342466,0.03424657534246575,0.21232876712328766,0.31986301369863007,0.05958904109589036,0.05958904109589036,ok,
CLEF_CD011571,a9,146,146,0.8333333333333334,0.2857142857142857,1,100,0.6232876712328768,0.6232876712328768,0.3767123287671233,0.3424657534246575,0.2808219178082192,0.7171232876712328,0.004794520547945158,0.004794520547945158,ok,
CLEF_CD011768,a1,9160,9160,0.92,0.9715380405035577,2,260,0.9771834061135372,0.9945414847161572,0.022816593886462882,0.008078602620087336,0.9691048034934497,0.8606986899563318,,0.8909388646288209,ok,
CLEF_CD011768,a11_rule_exclude,9160,9160,1.0,0.5497536945812808,0,4113,0.5579694323144104,0.5579694323144104,0.4420305676855895,0.009716157205240175,0.5482532751091703,,,0.1754366812227074,ok,
CLEF_CD011768,a13b_coverage_rule,9160,9160,1.0,0.09928845101258894,0,8228,0.10731441048034934,0.10731441048034934,0.8926855895196506,0.008296943231441048,0.0990174672489083,,,0.11703056768558948,ok,
CLEF_CD011768,a14c_difficulty_floor_100,9160,9160,1.0,0.09928845101258894,0,8228,0.10731441048034934,0.10731441048034934,0.8926855895196506,0.008296943231441048,0.0990174672489083,,,0.11703056768558948,ok,
CLEF_CD011768,a9,9160,9160,0.84,0.22955665024630542,4,7038,0.24148471615720524,0.24148471615720524,0.7585152838427948,0.012117903930131005,0.22936681222707422,,,-0.024672489082969477,ok,
CLEF_CD011977,a1,195,195,0.6486486486486487,0.8734177215189873,13,20,0.8666666666666667,0.9641025641025641,0.13333333333333333,0.09230769230769231,0.7743589743589744,0.3602564102564102,,0.39615384615384613,ok,
CLEF_CD011977,a11_rule_exclude,195,195,0.972972972972973,0.0379746835443038,1,152,0.29743589743589743,0.29743589743589743,0.7025641025641025,0.26153846153846155,0.035897435897435895,,,-0.02948717948717953,ok,
CLEF_CD011977,a13b_coverage_rule,195,195,0.972972972972973,0.04430379746835443,1,151,0.29743589743589743,0.29743589743589743,0.7025641025641025,0.2564102564102564,0.041025641025641026,,,-0.024358974358974404,ok,
CLEF_CD011977,a14c_difficulty_floor_100,195,195,0.972972972972973,0.04430379746835443,1,151,0.29743589743589743,0.29743589743589743,0.7025641025641025,0.2564102564102564,0.041025641025641026,,,-0.024358974358974404,ok,
CLEF_CD011977,a9,195,195,0.8648648648648649,0.13291139240506328,5,137,0.9179487179487179,0.9179487179487179,0.08205128205128205,0.7846153846153846,0.13333333333333333,,,-0.024358974358974404,ok,
CLEF_CD012069,a1,3479,3479,0.2693877551020408,0.8738404452690167,179,408,0.8787007760850819,0.97441793618856,0.12129922391491808,0.014946823799942513,0.8637539522851394,0.2750934176487496,,0.24692440356424256,ok,
CLEF_CD012069,a11_rule_exclude,3479,3479,1.0,0.047619047619047616,0,3080,0.07387180224202357,0.07387180224202357,0.9261281977579764,0.02960620868065536,0.04426559356136821,,,0.2092699051451566,ok,
CLEF_CD012069,a13b_coverage_rule,3479,3479,1.0,0.04916512059369202,0,3075,0.11871227364185111,0.11871227364185111,0.8812877263581489,0.07300948548433459,0.04570278815751653,,,0.1443087093992526,ok,
