file,dataset,config,n_records,n_valid,n_errors,n_skipped,old_metrics_schema_version,new_metrics_schema_version,old_auto_rate,new_decision_auto_rate,tier_auto_rate,delta_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,sensitivity,specificity,tp,fn,tn,fp,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,result_rows_sha256,status,issues
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a1.json,CLEF_CD004414,a1,336,336,0,0,1,2,0.9553571428571429,0.9553571428571429,0.9910714285714286,0.0,0.044642857142857144,0.06547619047619048,0.8898809523809523,1.0,0.9088145896656535,7,0,299,30,0.8458333333333333,,0.8398809523809523,8d4a96c18a1b6aaedc6329aa954a82474aa3aee9b1f36e817862e3c5b42dca98,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a10_fixed_margin.json,CLEF_CD004414,a10_fixed_margin,336,336,0,0,1,2,0.25297619047619047,0.25297619047619047,0.25297619047619047,0.0,0.7470238095238095,0.0744047619047619,0.17857142857142858,0.8571428571428571,0.17933130699088146,6,1,59,270,0.7595238095238095,0.6434523809523809,0.6434523809523809,2a84e466b8bb94c4d6a7e7e9eb159a391c52a637f9ba1d4763fd5af1341e2891,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a11_rule_exclude.json,CLEF_CD004414,a11_rule_exclude,336,336,0,0,1,2,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.0,0.3869047619047619,0.0625,0.5505952380952381,1.0,0.5623100303951368,7,0,185,144,0.7595238095238095,0.17619047619047615,0.17619047619047615,59906db55ff80b91af5507deb2f04a3ac711fb8658b7eaafa65530380ce007b9,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a13b_coverage_rule.json,CLEF_CD004414,a13b_coverage_rule,336,336,0,0,1,2,0.6517857142857143,0.6517857142857143,0.6517857142857143,0.0,0.3482142857142857,0.0625,0.5892857142857143,1.0,0.601823708206687,7,0,198,131,0.7595238095238095,0.17321428571428568,0.17321428571428568,a8d8c2b13dc42ea6eaf425967563cf02d89b9cee1ed44cb6ea497f16d940f886,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a14a_difficulty_floor_060.json,CLEF_CD004414,a14a_difficulty_floor_060,336,336,0,0,1,2,0.6517857142857143,0.6517857142857143,0.6517857142857143,0.0,0.3482142857142857,0.0625,0.5892857142857143,1.0,0.601823708206687,7,0,198,131,0.7595238095238095,0.17321428571428568,0.17321428571428568,a8d8c2b13dc42ea6eaf425967563cf02d89b9cee1ed44cb6ea497f16d940f886,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a14b_difficulty_floor_080.json,CLEF_CD004414,a14b_difficulty_floor_080,336,336,0,0,1,2,0.6517857142857143,0.6517857142857143,0.6517857142857143,0.0,0.3482142857142857,0.0625,0.5892857142857143,1.0,0.601823708206687,7,0,198,131,0.7595238095238095,0.17321428571428568,0.17321428571428568,a8d8c2b13dc42ea6eaf425967563cf02d89b9cee1ed44cb6ea497f16d940f886,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a14c_difficulty_floor_100.json,CLEF_CD004414,a14c_difficulty_floor_100,336,336,0,0,1,2,0.6517857142857143,0.6517857142857143,0.6517857142857143,0.0,0.3482142857142857,0.0625,0.5892857142857143,1.0,0.601823708206687,7,0,198,131,0.7595238095238095,0.17321428571428568,0.17321428571428568,a8d8c2b13dc42ea6eaf425967563cf02d89b9cee1ed44cb6ea497f16d940f886,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a2.json,CLEF_CD004414,a2,336,336,0,0,1,2,0.9464285714285714,0.9464285714285714,0.9821428571428571,0.0,0.05357142857142857,0.05654761904761905,0.8898809523809523,1.0,0.9088145896656535,7,0,299,30,0.8458333333333333,0.869642857142857,0.869642857142857,a922101c631e90c3476ce65f58e82b6e4ba2d9dfc6ade677aefe8a7e5e67a100,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a3.json,CLEF_CD004414,a3,336,336,0,0,1,2,0.49404761904761907,0.49404761904761907,0.49404761904761907,0.0,0.5059523809523809,0.0744047619047619,0.41964285714285715,0.8571428571428571,0.425531914893617,6,1,140,189,0.8458333333333333,0.869642857142857,0.869642857142857,c78c6370c51f9761c6275ff34874084582b6642b49b04339042462c0a8224b89,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a4.json,CLEF_CD004414,a4,336,336,0,0,1,2,0.27976190476190477,0.27976190476190477,0.27976190476190477,0.0,0.7202380952380952,0.0744047619047619,0.20535714285714285,0.8571428571428571,0.2066869300911854,6,1,68,261,0.7982142857142857,0.869642857142857,0.869642857142857,43f7c5eabd241e5d5f72ee155d90d6b6161779dcc5db8a24969a141c4147c21b,ok,
