strategy,threshold,n,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,auto_rate,include_rate,exclude_rate
p_include_threshold,0.013649724036505068,58085,939,417,9230,47499,0.6924778761061947,0.83729662077597,0.09233946307404858,0.99129727022289,0.8339158130326246,1.0,0.17507101661358354,0.8249289833864164
p_include_threshold,0.013671256472302171,58085,939,417,9230,47499,0.6924778761061947,0.83729662077597,0.09233946307404858,0.99129727022289,0.8339158130326246,1.0,0.17507101661358354,0.8249289833864164
p_include_threshold,0.01367126794047771,58085,939,417,9229,47500,0.6924778761061947,0.8373142484443583,0.09234854445318647,0.9912974518438132,0.8339330291813721,1.0,0.175053800464836,0.824946199535164
p_include_threshold,0.013671279408653248,58085,939,417,9229,47500,0.6924778761061947,0.8373142484443583,0.09234854445318647,0.9912974518438132,0.8339330291813721,1.0,0.175053800464836,0.824946199535164
p_include_threshold,0.013671356592982315,58085,939,417,9228,47501,0.6924778761061947,0.8373318761127466,0.09235762761876659,0.9912976334571559,0.8339502453301196,1.0,0.17503658431608848,0.8249634156839115
p_include_threshold,0.013671433777311382,58085,939,417,9228,47501,0.6924778761061947,0.8373318761127466,0.09235762761876659,0.9912976334571559,0.8339502453301196,1.0,0.17503658431608848,0.8249634156839115
p_include_threshold,0.013671509227137542,58085,939,417,9227,47502,0.6924778761061947,0.8373495037811348,0.09236671257131615,0.9912978150629187,0.8339674614788671,1.0,0.17501936816734096,0.824980631832659
p_include_threshold,0.013671584676963701,58085,939,417,9227,47502,0.6924778761061947,0.8373495037811348,0.09236671257131615,0.9912978150629187,0.8339674614788671,1.0,0.17501936816734096,0.824980631832659
p_include_threshold,0.01367160165328687,58085,939,417,9226,47503,0.6924778761061947,0.8373671314495231,0.09237579931136251,0.9912979966611019,0.8339846776276147,1.0,0.17500215201859345,0.8249978479814065
p_include_threshold,0.013671618629610038,58085,939,417,9226,47503,0.6924778761061947,0.8373671314495231,0.09237579931136251,0.9912979966611019,0.8339846776276147,1.0,0.17500215201859345,0.8249978479814065
p_include_threshold,0.013671648809841942,58085,939,417,9225,47504,0.6924778761061947,0.8373847591179114,0.0923848878394333,0.991298178251706,0.8340018937763622,1.0,0.17498493586984593,0.8250150641301541
p_include_threshold,0.013671678990073847,58085,939,417,9225,47504,0.6924778761061947,0.8373847591179114,0.0923848878394333,0.991298178251706,0.8340018937763622,1.0,0.17498493586984593,0.8250150641301541
p_include_threshold,0.013671694080238696,58085,939,417,9224,47505,0.6924778761061947,0.8374023867862997,0.09239397815605628,0.9912983598347315,0.8340191099251097,1.0,0.1749677197210984,0.8250322802789016
p_include_threshold,0.013671709170403543,58085,939,417,9224,47505,0.6924778761061947,0.8374023867862997,0.09239397815605628,0.9912983598347315,0.8340191099251097,1.0,0.1749677197210984,0.8250322802789016
p_include_threshold,0.013671767041487835,58085,939,417,9223,47506,0.6924778761061947,0.837420014454688,0.09240307026175949,0.9912985414101788,0.8340363260738572,1.0,0.17495050357235087,0.8250494964276491
p_include_threshold,0.01367182491257213,58085,939,417,9223,47506,0.6924778761061947,0.837420014454688,0.09240307026175949,0.9912985414101788,0.8340363260738572,1.0,0.17495050357235087,0.8250494964276491
p_include_threshold,0.01367182740247308,58085,939,417,9222,47507,0.6924778761061947,0.8374376421230764,0.09241216415707115,0.9912987229780486,0.8340535422226047,1.0,0.17493328742360334,0.8250667125763966
p_include_threshold,0.01367182989237403,58085,939,417,9222,47507,0.6924778761061947,0.8374376421230764,0.09241216415707115,0.9912987229780486,0.8340535422226047,1.0,0.17493328742360334,0.8250667125763966
p_include_threshold,0.013671853433299599,58085,939,417,9221,47508,0.6924778761061947,0.8374552697914647,0.09242125984251968,0.9912989045383411,0.8340707583713524,1.0,0.1749160712748558,0.8250839287251441
p_include_threshold,0.013671876974225165,58085,939,417,9221,47508,0.6924778761061947,0.8374552697914647,0.09242125984251968,0.9912989045383411,0.8340707583713524,1.0,0.1749160712748558,0.8250839287251441
p_include_threshold,0.013671891159180152,58085,939,417,9220,47509,0.6924778761061947,0.837472897459853,0.09243035731863372,0.991299086091057,0.8340879745200999,1.0,0.17489885512610828,0.8251011448738917
p_include_threshold,0.013671905344135139,58085,939,417,9220,47509,0.6924778761061947,0.837472897459853,0.09243035731863372,0.991299086091057,0.8340879745200999,1.0,0.17489885512610828,0.8251011448738917
p_include_threshold,0.013671950011841055,58085,939,417,9219,47510,0.6924778761061947,0.8374905251282413,0.09243945658594212,0.9912992676361967,0.8341051906688474,1.0,0.17488163897736075,0.8251183610226392
p_include_threshold,0.013671994679546972,58085,939,417,9219,47510,0.6924778761061947,0.8374905251282413,0.09243945658594212,0.9912992676361967,0.8341051906688474,1.0,0.17488163897736075,0.8251183610226392
p_include_threshold,0.01367202546421319,58085,939,417,9218,47511,0.6924778761061947,0.8375081527966296,0.09244855764497391,0.9912994491737607,0.8341224068175949,1.0,0.17486442282861325,0.8251355771713867
p_include_threshold,0.013672056248879405,58085,939,417,9218,47511,0.6924778761061947,0.8375081527966296,0.09244855764497391,0.9912994491737607,0.8341224068175949,1.0,0.17486442282861325,0.8251355771713867
p_include_threshold,0.013672146792801324,58085,939,417,9217,47512,0.6924778761061947,0.8375257804650179,0.09245766049625836,0.9912996307037493,0.8341396229663425,1.0,0.17484720667986572,0.8251527933201342
p_include_threshold,0.013672237336723245,58085,939,417,9217,47512,0.6924778761061947,0.8375257804650179,0.09245766049625836,0.9912996307037493,0.8341396229663425,1.0,0.17484720667986572,0.8251527933201342
