scope,p_include_max,ecs_max,exclude_certainty_policy,model_policy,asreview_rank_min,selected_hr,selected_true_excludes,selected_true_includes_extra_fn,selection_precision_true_exclude,auto_rate_gain,new_auto_rate,new_fn,new_sensitivity
all,0.01,0.3,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.4,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.4,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.5,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.5,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.2,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.2,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.3,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.3,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.4,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.4,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.5,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.02,0.5,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.2,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.2,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.3,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.3,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.4,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.4,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.5,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.03,0.5,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.2,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.2,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.3,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.3,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.4,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.4,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.5,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.05,0.5,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.2,require_pass,any,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.2,require_pass,early2,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.3,require_pass,any,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.3,require_pass,early2,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.4,require_pass,any,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.4,require_pass,early2,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.5,require_pass,any,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.01,0.5,require_pass,early2,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.02,0.2,require_pass,any,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
all,0.02,0.2,require_pass,early2,0.5,371,371,0,1.0,0.0016347861338409542,0.40135541836865085,170,0.9593884376493073
